ID,Rol,Acusado,Victima,Sexo,Edad,Rango etario,Año,Mes,Día,Día semana,Hora,Hora completa,Num víctimas,Participantes,Fecha fallecimiento,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Coordenada,Pos x,Pos y
2021-0037,PEATON,PASAJEROS,PEATON,FEMENINO,58,Entre 41 y 60,2021,5,11,Martes,7,07:10:00,1,PEATON-PASAJEROS,2021-05-11,"MONROE Y BALBIN, RICARDO, DR. AV.",AVENIDA,MONROE,"BALBIN, RICARDO, DR. AV.","MONROE y BALBIN, RICARDO, DR. AV.",COMUNA 13,BELGRANO - COLEGIALES - NUÃ‘EZ,"-58.46649069,-34.56219075",-58.46649069,-34.56219075
2021-0038,CONDUCTOR,CARGAS,MOTO,FEMENINO,44,Entre 41 y 60,2021,5,14,Viernes,11,11:40:00,1,MOTO-CARGAS,2021-05-14,"JUSTO, JUAN B. AV. Y SANTA FE AV.",AVENIDA,"JUSTO, JUAN B. AV.",SANTA FE AV.,"JUSTO, JUAN B. AV. y SANTA FE AV.",COMUNA 14,PALERMO,"-58.42653328,-34.57816791",-58.42653328,-34.57816791
2021-0039,CICLISTA,AUTO,BICICLETA,MASCULINO,86,Más de 80,2021,5,15,Sabado,12,12:09:00,1,BICICLETA-AUTO,2021-06-05,"OLIDEN Y ALBERDI, JUAN BAUTISTA AV.",AVENIDA,OLIDEN,"ALBERDI, JUAN BAUTISTA AV.","OLIDEN y ALBERDI, JUAN BAUTISTA AV.",COMUNA 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,"-58.50407099,-34.65303372",-58.50407099,-34.65303372
2021-0040,CONDUCTOR,AUTO,MOTO,MASCULINO,27,Entre 21 y 40,2021,5,20,Jueves,5,05:50:00,1,MOTO-AUTO,2021-05-20,"PAZ, GRAL. AV. Y DEL LIBERTADOR AV.",GRAL PAZ,"PAZ, GRAL. AV.",DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",COMUNA 13,BELGRANO - COLEGIALES - NUÃ‘EZ,"-58.46743471,-34.53476874",-58.46743471,-34.53476874
2021-0041,PEATON,PASAJEROS,PEATON,MASCULINO,75,Entre 61 y 80,2021,5,20,Jueves,8,08:30:00,1,PEATON-PASAJEROS,2021-05-20,DEL LIBERTADOR AV. Y CASARES AV.,AVENIDA,DEL LIBERTADOR AV.,CASARES AV.,DEL LIBERTADOR AV. y CASARES AV.,COMUNA 14,PALERMO,"-58.40986646,-34.5772806",-58.40986646,-34.5772806
2021-0042,PEATON,PASAJEROS,PEATON,MASCULINO,39,Entre 21 y 40,2021,5,21,Viernes,5,05:00:00,1,PEATON-PASAJEROS,2021-05-21,RIVADAVIA AV. 10900,AVENIDA,RIVADAVIA AV.,,RIVADAVIA AV. 10900,COMUNA 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,"-58.51739138,-34.63931792",-58.51739138,-34.63931792
2021-0043,PEATON,AUTO,PEATON,MASCULINO,50,Entre 41 y 60,2021,5,22,Sabado,18,18:26:00,1,PEATON-AUTO,2021-05-22,"ALBERDI, JUAN BAUTISTA AV. Y PILAR",AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",PILAR,"ALBERDI, JUAN BAUTISTA AV. y PILAR",COMUNA 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,"-58.50719962,-34.65556223",-58.50719962,-34.65556223
2021-0044,PASAJERO_ACOMPAÑANTE,OBJETO FIJO,MOTO,MASCULINO,21,Entre 21 y 40,2021,5,25,Martes,2,02:00:00,1,MOTO-OBJETO FIJO,2021-05-25,"PERON, EVA AV. Y ACOSTA, MARIANO",AVENIDA,"PERON, EVA AV.","ACOSTA, MARIANO","PERON, EVA AV. y ACOSTA, MARIANO",COMUNA 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,"-58.46712311,-34.64600222",-58.46712311,-34.64600222
2021-0045,CONDUCTOR,MULTIPLE,MOTO,MASCULINO,22,Entre 21 y 40,2021,5,26,Miercoles,17,17:24:00,1,MULTIPLE,2021-05-26,AU FRONDIZI Y SUAREZ AV.,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y SUAREZ AV.,COMUNA 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,"-58.37709334,-34.64035082",-58.37709334,-34.64035082
2021-0046,PASAJERO_ACOMPAÑANTE,OBJETO FIJO,AUTO,MASCULINO,20,Entre 21 y 40,2021,5,31,Lunes,2,02:00:00,1,AUTO-OBJETO FIJO,2021-05-31,EL CANO AV. Y GUZMAN AV.,AVENIDA,ELCANO AV.,GUZMAN AV.,ELCANO AV. y GUZMAN AV.,COMUNA 15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,"-58.46033141,-34.58569883",-58.46033141,-34.58569883
