ID,Rol,Acusado,Victima,Sexo,Edad,Rango etario,Año,Mes,Día,Día semana,Hora,Hora completa,Num víctimas,Participantes,Fecha fallecimiento,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Coordenada,Pos x,Pos y
2016-0001,CONDUCTOR,AUTO,MOTO,MASCULINO,19,Menos de 20,2016,1,1,Viernes,4,04:00:00,1,MOTO-AUTO,2016-01-01,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.47533969,-34.68757022",-58.47533969,-34.68757022
2016-0002,CONDUCTOR,PASAJEROS,AUTO,MASCULINO,70,Entre 61 y 80,2016,1,2,Sabado,1,01:15:00,1,AUTO-PASAJEROS,2016-01-02,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",COMUNA 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,"-58.50877521,-34.66977709",-58.50877521,-34.66977709
2016-0003,CONDUCTOR,AUTO,MOTO,MASCULINO,30,Entre 21 y 40,2016,1,3,Domingo,7,07:00:00,1,MOTO-AUTO,2016-01-03,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 2034,COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.39040293,-34.63189362",-58.39040293,-34.63189362
2016-0004,CONDUCTOR,SD,MOTO,MASCULINO,18,Menos de 20,2016,1,10,Domingo,0,00:00:00,1,MOTO-SD,,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.46503904,-34.68092974",-58.46503904,-34.68092974
2016-0005,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,29,Entre 21 y 40,2016,1,21,Jueves,5,05:20:00,1,MOTO-PASAJEROS,2016-02-01,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.38718297,-34.6224663",-58.38718297,-34.6224663
2016-0008,CONDUCTOR,OBJETO FIJO,MOTO,MASCULINO,30,Entre 21 y 40,2016,1,24,Domingo,18,18:30:00,1,MOTO-OBJETO FIJO,2016-01-24,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.44451316,-34.68475866",-58.44451316,-34.68475866
2016-0009,PASAJERO_ACOMPAÑANTE,AUTO,MOTO,MASCULINO,29,Entre 21 y 40,2016,1,24,Domingo,19,19:10:00,1,MOTO-AUTO,2016-01-26,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",COMUNA 11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,"-58.50095869,-34.6082544",-58.50095869,-34.6082544
2016-0010,CONDUCTOR,AUTO,MOTO,MASCULINO,18,Menos de 20,2016,1,29,Viernes,15,15:20:00,1,MOTO-AUTO,2016-01-29,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",COMUNA 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,"-58.50877521,-34.66977709",-58.50877521,-34.66977709
2016-0012,CONDUCTOR,CARGAS,MOTO,MASCULINO,22,Entre 21 y 40,2016,2,8,Lunes,1,01:20:00,1,MOTO-CARGAS,2016-02-08,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.38048577,-34.61303893",-58.38048577,-34.61303893
2016-0013,PEATON,AUTO,PEATON,MASCULINO,16,Menos de 20,2016,2,10,Miercoles,11,11:30:00,1,PEATON-AUTO,2016-02-10,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 1366,COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.39114932,-34.62477387",-58.39114932,-34.62477387
2016-0015,PEATON,AUTO,PEATON,FEMENINO,16,Menos de 20,2016,2,14,Domingo,5,05:14:00,1,PEATON-AUTO,2016-02-14,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",COMUNA 15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,"-58.4376002,-34.59912758",-58.4376002,-34.59912758
2016-0016,PASAJERO_ACOMPAÑANTE,AUTO,MOTO,FEMENINO,19,Menos de 20,2016,2,14,Domingo,22,22:00:00,1,MOTO-AUTO,2016-02-14,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",COMUNA 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,"-58.36882665,-34.64291993",-58.36882665,-34.64291993
2016-0017,PEATON,MOTO,PEATON,MASCULINO,59,Entre 41 y 60,2016,2,15,Lunes,16,16:54:00,1,PEATON-MOTO,2016-02-16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,"ACOSTA, MARIANO","JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.44989671,-34.65970435",-58.44989671,-34.65970435
2016-0019,PEATON,PASAJEROS,PEATON,FEMENINO,65,Entre 61 y 80,2016,2,17,Miercoles,9,09:30:00,1,PEATON-PASAJEROS,2016-02-17,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,"DE LA TORRE, LISANDRO","GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",COMUNA 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,"-58.50990884,-34.65468721",-58.50990884,-34.65468721
2016-0020,PEATON,AUTO,PEATON,MASCULINO,59,Entre 41 y 60,2016,2,17,Miercoles,16,16:00:00,1,PEATON-AUTO,2016-03-02,SUIPACHA 156,CALLE,SUIPACHA,,SUIPACHA 156,COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.37952223,-34.60653282",-58.37952223,-34.60653282
2016-0021,CONDUCTOR,AUTO,AUTO,MASCULINO,34,Entre 21 y 40,2016,2,17,Miercoles,23,23:35:00,1,AUTO-AUTO,2016-02-17,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,DIRECTORIO AV.,CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,COMUNA 7,FLORES - PARQUE CHACABUCO,"-58.45157703,-34.63063795",-58.45157703,-34.63063795
2016-0022,PASAJERO_ACOMPAÑANTE,AUTO,MOTO,MASCULINO,41,Entre 41 y 60,2016,2,21,Domingo,6,06:00:00,1,MOTO-AUTO,,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,9 DE JULIO AV.,"ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.38144696,-34.61079875",-58.38144696,-34.61079875
2016-0025,PASAJERO_ACOMPAÑANTE,AUTO,AUTO,MASCULINO,34,Entre 21 y 40,2016,2,28,Domingo,4,04:50:00,1,AUTO-AUTO,2016-02-28,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,"PAZ, GRAL. AV.",27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.46244952,-34.70524971",-58.46244952,-34.70524971
2016-0026,CONDUCTOR,OBJETO FIJO,AUTO,MASCULINO,30,Entre 21 y 40,2016,2,28,Domingo,7,07:30:00,1,AUTO-OBJETO FIJO,2016-03-04,HOLMBERG Y VEDIA,CALLE,HOLMBERG,VEDIA,HOLMBERG y VEDIA,COMUNA 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,"-58.49216191,-34.54738649",-58.49216191,-34.54738649
2016-0027,PASAJERO_ACOMPAÑANTE,AUTO,AUTO,MASCULINO,34,Entre 21 y 40,2016,2,28,Domingo,9,09:35:00,1,AUTO-AUTO,,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,CURAPALIGUE AV.,"DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",COMUNA 7,FLORES - PARQUE CHACABUCO,"-58.44497874,-34.63852623",-58.44497874,-34.63852623
2016-0028,PEATON,CARGAS,PEATON,MASCULINO,50,Entre 41 y 60,2016,3,2,Miercoles,10,10:00:00,1,PEATON-CARGAS,2016-03-02,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.38199706,-34.60028648",-58.38199706,-34.60028648
2016-0029,PEATON,PASAJEROS,PEATON,MASCULINO,38,Entre 21 y 40,2016,3,4,Viernes,17,17:30:00,1,PEATON-PASAJEROS,2016-03-04,AV CABILDO Y DEHEZA,AVENIDA,CABILDO AV.,DEHEZA,CABILDO AV. y DEHEZA,COMUNA 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,"-58.47378664,-34.54153077",-58.47378664,-34.54153077
2016-0031,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,21,Entre 21 y 40,2016,3,8,Martes,12,12:30:00,1,MOTO-PASAJEROS,,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,"PAZ, GRAL. AV.","ROCA, CNEL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.47064556,-34.69843756",-58.47064556,-34.69843756
2016-0034,PEATON,PASAJEROS,PEATON,MASCULINO,52,Entre 41 y 60,2016,3,12,Sabado,12,12:30:00,1,PEATON-PASAJEROS,2016-03-12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",COMUNA 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,"-58.40623949,-34.65076549",-58.40623949,-34.65076549
2016-0035,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,34,Entre 21 y 40,2016,3,13,Domingo,6,06:00:00,1,MOTO-PASAJEROS,2016-03-13,AV CORRIENTES Y AV CALLAO,AVENIDA,CORRIENTES AV.,CALLAO AV.,CORRIENTES AV. y CALLAO AV.,COMUNA 3,BALVANERA - SAN CRISTOBAL,"-58.39228965,-34.60443527",-58.39228965,-34.60443527
2016-0036,PASAJERO_ACOMPAÑANTE,PASAJEROS,MOTO,MASCULINO,36,Entre 21 y 40,2016,3,14,Lunes,0,00:15:00,1,MOTO-PASAJEROS,2016-03-14,HERRERA Y ARISTOBULO DEL VALLE,CALLE,HERRERA,"VALLE, ARISTOBULO DEL","HERRERA y VALLE, ARISTOBULO DEL",COMUNA 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,"-58.37813396,-34.63668504",-58.37813396,-34.63668504
2016-0037,CONDUCTOR,MOTO,MOTO,MASCULINO,20,Entre 21 y 40,2016,3,19,Sabado,11,11:00:00,1,MOTO-MOTO,2016-03-19,AV. EVA PERON Y QUIRNO,AVENIDA,LAFUENTE AV.,QUIRNO,LAFUENTE AV. y QUIRNO,COMUNA 7,FLORES - PARQUE CHACABUCO,"-58.46275892,-34.64358293",-58.46275892,-34.64358293
2016-0038,PEATON,PASAJEROS,PEATON,MASCULINO,29,Entre 21 y 40,2016,3,21,Lunes,8,08:06:00,1,PEATON-PASAJEROS,2016-03-21,AV GRAL PAZ COLECTORA Y ZUVIRIA,GRAL PAZ,"PAZ, GRAL. AV.",ZUVIRIA,"PAZ, GRAL. AV. y ZUVIRIA",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.49683458,-34.67892743",-58.49683458,-34.67892743
2016-0039,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,20,Entre 21 y 40,2016,3,23,Miercoles,1,01:50:00,1,MOTO-PASAJEROS,2016-03-23,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,"MITRE, BARTOLOME",PUEYRREDON AV.,"MITRE, BARTOLOME y PUEYRREDON AV.",COMUNA 3,BALVANERA - SAN CRISTOBAL,"-58.40603217,-34.6088396",-58.40603217,-34.6088396
2016-0041,CONDUCTOR,CARGAS,MOTO,MASCULINO,54,Entre 41 y 60,2016,3,29,Martes,11,11:00:00,2,MOTO-CARGAS,2016-03-29,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,COMUNA 7,FLORES - PARQUE CHACABUCO,"-58.4607655,-34.63350444",-58.4607655,-34.63350444
2016-0041,PASAJERO_ACOMPAÑANTE,CARGAS,MOTO,MASCULINO,0,Menos de 20,2016,3,29,Martes,11,11:00:00,2,MOTO-CARGAS,2016-03-30,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,COMUNA 7,FLORES - PARQUE CHACABUCO,"-58.4607655,-34.63350444",-58.4607655,-34.63350444
2016-0043,PEATON,CARGAS,PEATON,FEMENINO,56,Entre 41 y 60,2016,3,30,Miercoles,18,18:15:00,1,PEATON-CARGAS,2016-03-30,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",MURGUIONDO,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.47832463,-34.67494416",-58.47832463,-34.67494416
2016-0044,CONDUCTOR,MULTIPLE,MOTO,MASCULINO,24,Entre 21 y 40,2016,3,31,Jueves,19,19:40:00,1,MULTIPLE,2016-03-31,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,"MORENO, JOSE MARIA AV.",BALBASTRO,"MORENO, JOSE MARIA AV. y BALBASTRO",COMUNA 7,FLORES - PARQUE CHACABUCO,"-58.43213235,-34.63693953",-58.43213235,-34.63693953
2016-0045,CONDUCTOR,SD,MOTO,MASCULINO,0,Menos de 20,2016,4,11,Lunes,10,10:25:00,1,MOTO-SD,,AV GRAL PAZ Y AV DEL LIBERTADOR,GRAL PAZ,"PAZ, GRAL. AV.",DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",COMUNA 13,BELGRANO - COLEGIALES - NUÃ‘EZ,"-58.46743471,-34.53476874",-58.46743471,-34.53476874
2016-0047,PEATON,PASAJEROS,PEATON,MASCULINO,41,Entre 41 y 60,2016,4,15,Viernes,5,05:30:00,1,PEATON-PASAJEROS,2016-04-15,LIMA 1483,CALLE,LIMA,,LIMA 1483,COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.38247061,-34.62571878",-58.38247061,-34.62571878
2016-0048,PEATON,PASAJEROS,PEATON,FEMENINO,0,Menos de 20,2016,4,15,Viernes,17,17:40:00,1,PEATON-PASAJEROS,,AV. CORRIENTES Y AV. DORREGO,AVENIDA,CORRIENTES AV.,DORREGO AV.,CORRIENTES AV. y DORREGO AV.,COMUNA 15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,"-58.44759966,-34.5917024",-58.44759966,-34.5917024
2016-0049,SD,SD,SD,SD,0,Menos de 20,2016,4,17,Domingo,0,00:00:00,1,SD-SD,,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,COMUNA 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,"-58.37714647568196,-34.63657525428238",-58.37714647568196,-34.63657525428238
2016-0050,PEATON,PASAJEROS,PEATON,MASCULINO,78,Entre 61 y 80,2016,4,19,Martes,9,09:50:00,1,PEATON-PASAJEROS,2016-04-19,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,"GORDILLO, TIMOTEO","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.47305463,-34.68550712",-58.47305463,-34.68550712
2016-0051,CONDUCTOR,CARGAS,MOTO,MASCULINO,36,Entre 21 y 40,2016,4,20,Miercoles,4,04:00:00,1,MOTO-CARGAS,2016-04-20,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",COMUNA 4,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,"-58.40623949,-34.65076549",-58.40623949,-34.65076549
2016-0052,SD,SD,MOTO,SD,0,Menos de 20,2016,4,20,Miercoles,20,20:00:00,1,MOTO-SD,,AUTOPISTA LUGONES PK 10000,AUTOPISTA,"LUGONES, LEOPOLDO AV.",,,COMUNA 13,BELGRANO - COLEGIALES - NUÃ‘EZ,"0.0,0.0",0.0,0.0
2016-0053,PEATON,PASAJEROS,PEATON,MASCULINO,38,Entre 21 y 40,2016,4,22,Viernes,9,09:30:00,1,PEATON-PASAJEROS,2016-04-22,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,TRIUNVIRATO AV.,OLAZABAL AV.,TRIUNVIRATO AV. y OLAZABAL AV.,COMUNA 12,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,"-58.4842918,-34.57558053",-58.4842918,-34.57558053
2016-0054,CONDUCTOR,MOTO,MOTO,MASCULINO,30,Entre 21 y 40,2016,4,23,Sabado,21,21:00:00,1,MOTO-MOTO,2016-04-25,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"PAZ, GRAL. AV.","AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.48695354,-34.68795245",-58.48695354,-34.68795245
2016-0055,PEATON,CARGAS,PEATON,MASCULINO,79,Entre 61 y 80,2016,4,25,Lunes,20,20:30:00,1,PEATON-CARGAS,2016-04-28,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL","FIGUEROA ALCORTA, PRES. AV.","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",COMUNA 14,PALERMO,"-58.40021959,-34.57964781",-58.40021959,-34.57964781
2016-0056,CONDUCTOR,OBJETO FIJO,MOTO,MASCULINO,26,Entre 21 y 40,2016,4,26,Martes,4,04:45:00,1,MOTO-OBJETO FIJO,2016-04-26,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.",,"CAMPOS, LUIS M. AV. 30",COMUNA 14,PALERMO,"-58.42957885,-34.57660058",-58.42957885,-34.57660058
2016-0058,PEATON,MOTO,PEATON,FEMENINO,57,Entre 41 y 60,2016,5,4,Miercoles,14,14:00:00,1,PEATON-MOTO,2016-05-08,LIMA 1471,CALLE,LIMA,,LIMA 1471,COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.38247542,-34.62556293",-58.38247542,-34.62556293
2016-0059,PEATON,PASAJEROS,PEATON,MASCULINO,37,Entre 21 y 40,2016,5,8,Domingo,16,16:30:00,1,PEATON-PASAJEROS,2016-05-26,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,LIMA,CIUDADELA y LIMA,COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.38222219,-34.62728101",-58.38222219,-34.62728101
2016-0064,PEATON,PASAJEROS,PEATON,MASCULINO,20,Entre 21 y 40,2016,5,14,Sabado,18,18:11:00,1,PEATON-PASAJEROS,,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,"JUSTO, JUAN B. AV.",CARRASCO AV.,"JUSTO, JUAN B. AV. y CARRASCO AV.",COMUNA 10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,"-58.49485242,-34.62953445",-58.49485242,-34.62953445
2016-0065,PEATON,AUTO,PEATON,MASCULINO,20,Entre 21 y 40,2016,5,20,Viernes,14,14:40:00,1,PEATON-AUTO,2016-05-20,AV GAONA Y ESPINOSA,AVENIDA,GAONA AV.,ESPINOSA,GAONA AV. y ESPINOSA,COMUNA 6,CABALLITO,"-58.45227946,-34.61068024",-58.45227946,-34.61068024
2016-0067,PASAJERO_ACOMPAÑANTE,PASAJEROS,MOTO,FEMENINO,30,Entre 21 y 40,2016,5,21,Sabado,17,17:00:00,1,MOTO-PASAJEROS,,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,"DE LA TORRE, LISANDRO",SARAZA,"DE LA TORRE, LISANDRO y SARAZA",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.48455411,-34.6751276",-58.48455411,-34.6751276
2016-0068,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,58,Entre 41 y 60,2016,5,22,Domingo,22,22:00:00,1,MOTO-PASAJEROS,,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",PUEYRREDON AV.,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",COMUNA 2,RECOLETA,"-58.39056593,-34.58418569",-58.39056593,-34.58418569
2016-0069,CONDUCTOR,CARGAS,AUTO,MASCULINO,30,Entre 21 y 40,2016,5,23,Lunes,3,03:30:00,1,AUTO-CARGAS,2016-05-23,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,ENTRE RIOS AV.,FILIBERTO,ENTRE RIOS AV. y FILIBERTO,COMUNA 3,BALVANERA - SAN CRISTOBAL,"-58.39118948,-34.62704273",-58.39118948,-34.62704273
2016-0073,CONDUCTOR,CARGAS,MOTO,MASCULINO,23,Entre 21 y 40,2016,6,11,Sabado,15,15:00:00,1,MOTO-CARGAS,,MAGARIÑOS CERVANTES 3900,CALLE,"MAGARI?OS CERVANTES, A.",,"MAGARIÃ‘OS CERVANTES, A. 3900",COMUNA 10,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,"-58.49021952,-34.62025108",-58.49021952,-34.62025108
2016-0074,CONDUCTOR,AUTO,AUTO,MASCULINO,60,Entre 61 y 80,2016,6,12,Domingo,6,06:40:00,1,AUTO-AUTO,,AV GRAL PAZ Y RODOLFO SCAPINO,GRAL PAZ,"PAZ, GRAL. AV.","SCAPINO, RODOLFO","PAZ, GRAL. AV. y SCAPINO, RODOLFO",COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.49896559,-34.67732118",-58.49896559,-34.67732118
2016-0075,PEATON,AUTO,PEATON,MASCULINO,42,Entre 41 y 60,2016,6,12,Domingo,23,23:13:00,1,PEATON-AUTO,2016-06-12,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,MIRALLA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,COMUNA 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,"-58.47461076,-34.66874679",-58.47461076,-34.66874679
2016-0076,PEATON,PASAJEROS,PEATON,FEMENINO,53,Entre 41 y 60,2016,6,13,Lunes,16,16:20:00,1,PEATON-PASAJEROS,2016-06-13,AV SAN MARTIN Y CAMARONES,AVENIDA,SAN MARTIN AV.,CAMARONES,SAN MARTIN AV. y CAMARONES,COMUNA 15,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,"-58.46210891,-34.60356211",-58.46210891,-34.60356211
2016-0077,PEATON,PASAJEROS,PEATON,FEMENINO,0,Menos de 20,2016,6,13,Lunes,21,21:52:00,1,PEATON-PASAJEROS,,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL","ALEM, LEANDRO N. AV.","PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",COMUNA 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,"-58.3702777,-34.60536123",-58.3702777,-34.60536123
2016-0078,CONDUCTOR,MOTO,MOTO,MASCULINO,30,Entre 21 y 40,2016,6,13,Lunes,23,23:01:00,1,MOTO-MOTO,,AV BELGRANO Y AV JUJUY,AVENIDA,BELGRANO AV.,JUJUY AV.,BELGRANO AV. y JUJUY AV.,COMUNA 3,BALVANERA - SAN CRISTOBAL,"-58.40491455,-34.6146383",-58.40491455,-34.6146383
2016-0079,CONDUCTOR,AUTO,AUTO,FEMENINO,51,Entre 41 y 60,2016,6,16,Jueves,17,17:13:00,1,AUTO-AUTO,,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,DEL LIBERTADOR AV.,"UDAONDO, GUILLERMO AV.","DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",COMUNA 13,BELGRANO - COLEGIALES - NUÃ‘EZ,"-58.45504154,-34.54864492",-58.45504154,-34.54864492
